Indirizzo dell'offerta,Ragione Sociale:,Tipo Azienda/Ente:,Descrizione:,Settori di attività:,Nazione:,Provincia:,Comune:,Frazione:,Indirizzo:,CAP:,Nome referente:,Cognome referente:,Telefono:,Email:,Sito web:,Note:
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1292918,AP ENGINEERING S.R.L.,Società di Capitali,"L'azienda opera con competenze specifiche quale Ente di Certificazione e Laboratorio prove a supporto delle aziende per l'ottenimento della certificazione di nuovi prodotti che devono essere immessi sul mercato nazionale, europeo ed internazionale. Operiamo nei settori Medicali, Household, ferroviario, IT, macchine industriali, componenti e sistemi di sicurezza, impianti e giostre e parchi gioco","Altre attività Produzione di software, consulenza informatica e attività connesse Industria meccanica e metalmeccanica Studi di consulenza organizzativa, aziendale e del lavoro Studi di ingegneria e architettura Altre industrie manifatturiere",ITALIA,BOLOGNA,ZOLA PREDOSA,,VIA PRATI 1/2,40069,Alessandro,Peluso,0510568483,info@ingpeluso.it,www.ingpeluso.it,"marketing, tecnico, testting, inspection"
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1619767,APPLIED SRL,Società di persone,"Applied propone competenze, servizi e prodotti ad alto valore aggiunto, per supportare ed accompagnare le aziende che vogliono intraprendere un percorso di innovazione digitale destinata al proprio settore, proponendosi di applicare pragmaticamente necessità aziendali, idee e creatività","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,SAN LAZZARO DI SAVENA,SAN LAZZARO DI SAVENA,"Via speranza, 35",40068,Maria Anna,Costabile,0516271163,ammpers@applied.it,,
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1290803,ARAD DIGITAL S.R.L.,Società di Capitali,"ARAD è una boutique di consulenza strategica operante nell'ambito della digital transformation e del digital business.

Aiutiamo sia grandi aziende internazionali che start-up italiane a creare o migliorare il proprio business attraverso le opportunità offerte dal digitale, supportandole nel definire la strategia più adeguata al loro scenario operativo e seguendole nella sua implementazione. I settori nei quali operiamo primariamente sono retail, grocery, food, travel e fashion.","Produzione di software, consulenza informatica e attività connesse Studi di consulenza organizzativa, aziendale e del lavoro",ITALIA,BOLOGNA,BOLOGNA,,Via Francesco Roncati 7 - 9,40134,,,0039 3479691735,am@arad.digital,www.arad.digital,"Junior consultant

Il junior consultant supportera il team nella raccolta  delle informazioni, nella preparazione degli output e nella gestione operativa dei progetti.

ResponsabilitaÂ :

competitor analysis e benchmarking
raccolta di informazioni e digital intelligence
supporto nelle attivita di project management
supporto nell allestimento degli output di progetto
reporting interno ed esterno

Requisiti:

laurea in discipline economiche, sociali, tecniche o informatiche
master post-laurea
ottime capacita analitiche
precedente esperienza personale, formativa o lavorativa su tematiche digital
eccellente livello di alfabetizzazione digitale 
naturale predisposizione a imparare velocemente
capacita di passare velocemente da un contesto operativo all altro
buone capacita' di presentazione e di allestimento di documenti
naturale predisposizione a lavorare in modo organizzato e preciso
attitudine al lavoro di squadra
ottima conoscenza di excel
ottima conoscenza della lingua inglese e italiana

Requisiti preferenziali, ma non obbligatori:

esperienza personale o formativa all estero
conoscenza di base di sistemi di business reporting
conoscenza di base di sistemi di project management

Inquadramento: Stage Retribuito - 6 mesi

Sede di lavoro: Bologna"
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=613521,ASSOCIAZIONE NUOVAMENTE,Associazione/organizzazione no profit/ONG,"Interviene nell'ambito della partecipazione democratica, della formazione e dell'ausilio alle fasce più deboli della popolazione, con particolare attenzione ai giovani. Valorizza relazioni tra ambiti ed attività culturali, sociali ed economiche e sostiene iniziative di coinvolgimento sui temi della multiculturalità e multietnicità. Promuove l'utilizzo e la diffusione delle nuove tecnologie dell'informazione e della comunicazione multimediale. Ha realizzato più di cento progetti.","Attività editoriali, grafiche ed audiovisive Telecomunicazioni e servizi internet Produzione di software, consulenza informatica e attività connesse Amministrazione pubblica Istruzione prescolastica Istruzione primaria e secondaria Istruzione post-secondaria universitaria e non universitaria Formazione Attività ed Istituti di ricerca scientifica tecnica e di sviluppo Attivita artistiche, sportive e di intrattenimento Pubblicità e ricerche di mercato Attività di associazioni ed enti senza fine di lucro Servizi per la persona e la famiglia",ITALIA,BOLOGNA,BOLOGNA,,Via Dello Scalo 21/3,40131,Diego,Benecchi,0516493767,ass.nuovamente@libero.it,,
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=956274,AUA SOLUZIONI SRL,Società di Capitali,"Servizi per le Agenzie Assicurative UnipolSai: formazione, consulenza, applicativi, prodotti e convenzioni.","Servizi alle imprese Produzione di software, consulenza informatica e attività connesse Studi di consulenza organizzativa, aziendale e del lavoro Pubblicità e ricerche di mercato Commercio all'ingrosso e al dettaglio",ITALIA,BOLOGNA,BOLOGNA,,VIA STALINGRADO 57,40128,Filippo,Galli,800913131,,,
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=951748,AXEL TECHNOLOGY S.R.L.,Società di Capitali,"Axel Technology è l’azienda produttrice italiana leader nel settore del Broadcasting professionale televisivo e radiofonico. L’azienda è stata fondata a Bologna nel 1996 da Giuseppe Vaccari il quale, già esperto del settore, ha condotto la sua azienda a ricoprire un ruolo di leadership in tutti i mercati mondiali. Da sempre sensibile ai continui cambiamenti del mercato, Axel Technology accoglie con grande interesse le richieste dei propri clienti e reinveste ogni anno un’ampia porzione del fatturato nella ricerca, nello sviluppo e nell’innovazione; ogni nuova sfida rappresenta per noi l’occasione per progettare e realizzare le soluzioni broadcast del futuro.","Produzione di software, consulenza informatica e attività connesse Altre industrie manifatturiere",ITALIA,BOLOGNA,ANZOLA DELL'EMILIA,,VIA CADUTI DI SABBIUNO 6/F,40011,LEONARDO,ZAMBONELLI,051736555,leonardo.zambonelli@axeltechnology.com,http://www.axeltechnology.com/,sviluppo software in ambito radio/televisivo
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=2062280,Adimatica di A. Del Monte,Ditta individuale,"Adimatica opera nel settore della consulenza ed assistenza informatica, specializzata nella digitalizzazione e informatizzazione della pubblica amministrazione, offre soluzioni innovative per ottimizzare e modernizzare i processi amministrativi, migliorando l'efficienza e la trasparenza delle istituzioni pubbliche.
Consulenza Strategica: Supporto nella definizione di strategie di digitalizzazione su misura per le esigenze specifiche delle amministrazioni pubbliche.
Gestione Progetti ICT: Coordinamento e gestione di progetti complessi di informatizzazione, con attenzione alla qualità e ai tempi di consegna.
Formazione e Supporto: Programmi di formazione per il personale amministrativo per garantire un uso efficace delle nuove tecnologie e supporto tecnico continuo.
Distruzione certificata dei dati: Servizio di distruzione certificata dei dati tramite Degaussing, garantendo l'eliminazione sicura e definitiva delle informazioni sensibili","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,PIANORO,,Via della Cooperazione 4,40065,Andrea,Del Monte,0516516436,amministrazione@adimatica.it,www.adimatica.it,
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=881825,Alan Borsari,Ditta individuale,"Excelerate is an informal partnership of professionals, managers, entrepreneurs, financiers, firms that provides acceleration resources to new entrepreneurs, inventors, companies, young talents, organisations. Excelerate focuses on accelerating your venture’s growth, be it a start-up, an early-stage or a company undergoing a change. Not only designing sustainable growth strategies, but often assuming operational responsibility for turning them successful. Helping you find missing resources. We believe “successful”, “ethical”, “simple” and “business” are words that belong together. We live to prove it, while we challenge our beliefs everyday, we keep improving the world we live in, and help other people win new entrepreneurial challenges.
Simply. Structuring the unknown.","Servizi alle imprese Produzione di software, consulenza informatica e attività connesse Attività finanziarie, assicurative e bancarie e studi promotori finanziari Studi di consulenza organizzativa, aziendale e del lavoro Istruzione post-secondaria universitaria e non universitaria Formazione Attivita artistiche, sportive e di intrattenimento Pubblicità e ricerche di mercato",ITALIA,BOLOGNA,CASTEL GUELFO DI BOLOGNA,,Via Medesano 2/F,40023,Alan,Borsari,,alan.borsari@excelerate.biz,,
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=595468,Altavia S.r.l.,Società di Capitali,"Studio, progettazione e realizzazione software: applicativi gestionali e protocolli di studio / trial. Settori di intervento: sanita' , agroalimentare
e irrigazione.Partecipazione a bandi europei: progetti di innovazione e trasferimento tecnologico. Commesse con ospedali, agenzie sanitarie regionali, pubblica amministrazione e privati.","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,BOLOGNA,,"via Giovanni Amendola,4",40121,,,,amministrazione@altavianet.it,,
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=611148,Araknos Srl Unipersonale,Società di persone,"AraKnos S.r.l. nasce nel febbraio 2002 come somma di esperienze dei fondatori nel settore della Sicurezza Informatica. Araknos ha due sedi, Roma e Bologna, ed è stata certificata ISO 9001:2000 nel settembre 2004 da parte di BVQI.

Il ""core business"" di Araknos è la sicurezza delle reti informatiche dall'interno: partendo da un'azione preventiva, passando alla gestione proattiva della sicurezza e completandosi nel controllo dell'intera infrastruttura.

Per rispondere nel migliore dei modi alle ""esigenze di sicurezza"" delle aziende, sia pubbliche sia private, Araknos propone apparati di propria progettazione e sviluppo (architettura Akab), servizi di consulenza (Security Audit) e formazione (corsi a calendario e personalizzati), oltre alla commercializzazione ed installazione di prodotti di terze parti (come firewall, IDS e sistemi antivirus).","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,BOLOGNA,,Via Pietro Miliani 7a,40132,Daniele,Dal Re,051-403001,info@araknos.it,www.araknos.it,settore sviluppo software e consulenza sistemistica
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1719271,Awentia s.r.l.,Società di Capitali,"LA SOCIETA' HA PER OGGETTO LO SVILUPPO, LA PRODUZIONE E LA COMMERCIALIZZAZIONEDI PRODOTTI E SERVIZI INNOVATIVI AD ALTO VALORE TECNOLOGICO, AI SENSI DELLANORMATIVA VIGENTE IN TEMA DI START-UP INNOVATIVE, IN VIA PREVALENTE LOSVILUPPO, LA PRODUZIONE E LA COMMERCIALIZZAZIONE DI
DISPOSITIVI ELETTRONICI,SOFTWARE E SERVIZI AD ESSI CONNESSI NELL AMBITO DELL INTERNET OF THINGS E EDGEARTIFICIAL INTELLIGENCE. A TAL FINE, LA SOCIETA' SVOLGERA' L ATTIVITA' DIRICERCA E SVILUPPO NEL CAMPO DEL INTERNET OF THINGS, EDGE ARTIFICIALINTELLIGENCE, SOFTWARE EMBEDDED, EDGE E
CLOUD COMPUTING. IN VIA SECONDARIA,INOLTRE, LA SOCIETA' POTRA' SVOLGERE ATTIVITA' DI CONSULENZA DI CARATTERE TECNICO E GESTIONALE, NONCHE' SVILUPPARE, FORNIRE E DISTRIBUIRE SOLUZIONISOFTWARE E HARDWARE E PRESTARE, IN VIA GENERALE, SERVIZI DI ASSISTENZA NEICAMPI SOPRA INDICATI.","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,IMOLA,,"Viale Francesco D'Agostino, 151D",40026,Federico,Frontali,3473644394,federico.frontali@awentia.com,federico.frontali@awentia.com,"IoT, Deep Learning, Computer Vision for agricultural and industrial applications."
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=2022256,BBC TECHNOLOGIES -SOCIETA' A RESPONSABILITA' LIMITATA,Società di Capitali,"Azienda informatica fondata nel 1987 con sedi a Casalecchio di Reno e Milano che opera su tutto il territorio nazionale.
Principali attività: sviluppo software per il retail, servizi di manutenzione hardware e software, fornitura hardware e software, project management, consulenza tecnica, CRM","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,CASALECCHIO DI RENO,,VIA DOMENICO CIMAROSA 101,40033,DANILA,BETTI,0510826005,info@bbctech.it,www.bbctech.it,"AMMINISTRAZIONE E FINANZA
CONTABILITA'
UFFICIO ACQUISTI
UFFICIO COMMERCIALE
CONTROLLO DI GESTIONE
LOGISTICA"
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1219656,BELABS S.R.L.,Società di Capitali,"La BeLabs nasce dalla pluriennale esperienza come tecnici sul campo di manutenzione ed integrazione di sistemi analisi aria avendo acquisito la capacità di integrare più tecnologie, rendendo fruibili soluzioni all’ avanguardia inserendo concetti e paradigmi nuovi nati su piattaforme e tecnologie moderne, sulle attuali metodologie di misura e monitoraggio. I nostri servizi sono primariamente di consulenza e progettazione di applicazioni specifiche nel monitoraggio aria sia indoor che outdoor, partendo dalle apparecchiature necessarie al laboratorio di verifica fino a sistemi di campionamento polveri ed analisi in real-time. Tutti i nostri prodotti e progetti si basano sul concetto di IoT con accesso da remoto alle apparecchiature e ai dati raccolti. Installiamo inoltre strumentazione di terze parti curandone l’integrazione e la manutenzione anche sul campo. Sviluppiamo inoltre software multipiattaforma e sistemi di telecomunicazione e telecontrollo.","Altre attività Servizi alle imprese Telecomunicazioni e servizi internet Produzione di software, consulenza informatica e attività connesse Produzione di computer, prodotti e componenti elettronici e ottici Industria meccanica e metalmeccanica Altre industrie manifatturiere Attività ed Istituti di ricerca scientifica tecnica e di sviluppo Trasporto terrestre, marittimo e aereo",ITALIA,BOLOGNA,BOLOGNA,,Via Larga 15/6C,40138,Alessandro,Ricci,0510546163,info@belabs.it,http://www.belabs.it,"Progettazione hardware e software di prodotti.
Reingegnerizzazione di prodotti giÃ  sviluppati.
Sviluppo software desktop, server e mobile.
Progettazione reti di comunicazione."
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=988575,BIT4LAW S.R.L.,Società di Capitali,Consulenze tecniche di informatica forense per conto di privati e autorità giuridiziaria. Consulenze privacy e data protection. Implementazione e verifica di sistemi di gestione sulla sicurezza delle informazioni ISO 27001. Audit IT per aziende. Formazione nel settore dell'informatica forense,"Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,BOLOGNA,,Via Giuseppe Brini 45,40128,MICHELE,FERRAZZANO,3332748282,michele@bit4law.it,,"Digital forensics, incident response, cybersecurity."
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1282405,BITNOMOS S.R.L.,Società di Capitali,"BitNomos si occupa di servizi, strumenti e soluzioni progettuali di supporto alla digitalizzazione di processi deliberativi, documentali e organizzativi in ambiti complessi, incluse le organizzazioni governative, intergovernative, civili, e aziendali.","Produzione di software, consulenza informatica e attività connesse Studi di consulenza organizzativa, aziendale e del lavoro",ITALIA,BOLOGNA,BOLOGNA,,VIALE GIUSEPPE FANIN 48,40127,DINO,GIRARDI,3482627545,info@bitnomos.eu,https://www.bitnomos.eu/,"- Analisi giuridiche by-design di applicativi complessi e di tecnologie avanzate quali AI, blockchain, big data, etc."
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=711593,BitBang srl,Società di Capitali,"BitBang offre prodotti e servizi di supporto e consulenza di web analytics, customer analytics, social media analytics, web performance monitoring, web audit, web customer experience management, customer feedback e satisfaction, web marketing e search engine marketing.","Produzione di software, consulenza informatica e attività connesse Studi di consulenza organizzativa, aziendale e del lavoro Formazione Pubblicità e ricerche di mercato",ITALIA,BOLOGNA,BOLOGNA,,Via Mattei 102,40138,Giovanni,Lorenzoni,051 5875314,jobs@bitbang.com,,"BitBang fornisce servizi di Digital Analytics, Digital Intelligence, Marketing Analytics, Customer Intelligence e Data Science per le organizzazioni che necessitano di programmi efficaci di analisi, di misurazione e di ottimizzazione dell’experience a favore della propria customer base.
La conoscenza delle metodologie analitiche avanzate e le competenze di data intelligence maturate nel tempo servendo le diverse industry rappresentano i core service offerti da BitBang alla propria clientela.
Attraverso l’integrazione dei dati provenienti dai diversi canali online e offline, BitBang supporta le imprese nella massimizzazione delle informazioni per giungere a una conoscenza olistica del cliente e delle performance di brand e nella costruzione delle azioni data driven idonee al raggiungimento degli obiettivi di business."
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=1580506,Brainy Labs S.R.L.,Società di Capitali,"Siamo un team di giovani sviluppatori con sede a Bologna che opera nel settore della consulenza informatica e sviluppo software.

Il nostro focus principale riguarda lo sviluppo di applicazioni web e mobile in ambito e-commerce e finance.

Le principali tecnologie che usiamo sui nostri progetti sono: 
 - Spring Boot
 - Angular
 - Ionic / Flutter
 - Docker

Siamo sempre alla ricerca di nuovi talenti che facciano crescere il nostro team e che abbiano voglia di crescere assieme a noi!","Produzione di software, consulenza informatica e attività connesse",ITALIA,BOLOGNA,BOLOGNA,,VIA CLAUDIO TREVES 24,40135,Michael,Bonelli,3518904994,info@brainylabs.it,www.brainylabs.it,"I tirocinanti verranno inseriti su progetti in ambito Web e Mobile e seguiti da persone che già  lavorano su tali progetti per portare a termine i vari task che gli verranno assegnati.

I task possono comprendere lo sviluppo di intere nuove funzionalità  piuttosto che attività di bug fixing o migliorie di funzionalità già esistenti sugli applicativi per i quali svolgiamo attività  di consulenza. 

Alcune delle principali tecnologie che sposiamo sono le seguenti per quanto riguarda l'ambito web: 

- Spring Boot
- Docker  / Jenkins
- SQL / Hibernate / JPA
- Angular 9+ / Angular Material
- SCSS / CSS / HTML5

Per quanto riguarda l'ambito mobile invece i framework utilizzati sono: 
- Cordova + Ionic / Angular 
- Flutter"
https://tirocini.unibo.it/tirocini/studenti/gestioneaziendeconautocandidature.htm?page=1&select=936116,CARDEA S.R.L.,Società di Capitali,"Cardea è una società di consuelnza che nasce nel 2004 per perseguire l’innovazione a tutti i livelli e offrire soluzioni personalizzate ai propri clienti, valorizzando le risorse di ricerca e sviluppo interne. L’obiettivo statutario è quello di operare nel settore della innovazione sia tecnologica che di processo, ricercare e proporre quanto di meglio offre il mercato per finanziare gli investimenti.","Servizi alle imprese Telecomunicazioni e servizi internet Produzione di software, consulenza informatica e attività connesse Attività finanziarie, assicurative e bancarie e studi promotori finanziari Studi legali, notarili e di commercialisti Studi di consulenza organizzativa, aziendale e del lavoro Commercio all'ingrosso e al dettaglio",ITALIA,BOLOGNA,BOLOGNA,,"Via Cervellati, 1",40121,,,,cardea@cardeasrl.it,,Studio dei Bandi- Analisi delle esigenze del cliente - Scrittura di progetti tecnici - definizione di budget di investimento.
